Source;Code;Name;Method;year;Depth;Latitude;Longitude;ALT_Permafrost_cci
CALM;C10;Pump Station;T/P;1997;77,00;65,28333333;-126,883333300;1,38
CALM;C10;Pump Station;T/P;1998;78,00;65,28333333;-126,883333300;1,56
CALM;C10;Pump Station;T/P;1999;77,00;65,28333333;-126,883333300;1,28
CALM;C10;Pump Station;T/P;2000;80,00;65,28333333;-126,883333300;1,26
CALM;C11 A;Norman Wells   (Thaw tube);TT;1997;59,00;65,19305556;-126,468888900;1,40
CALM;C11 A;Norman Wells   (Thaw tube);TT;1998;66,00;65,19305556;-126,468888900;1,50
CALM;C11 A;Norman Wells   (Thaw tube);TT;1999;64,00;65,19305556;-126,468888900;1,30
CALM;C11 A;Norman Wells   (Thaw tube);TT;2000;64,00;65,19305556;-126,468888900;1,45
CALM;C11 A;Norman Wells   (Thaw tube);TT;2001;66,00;65,19305556;-126,468888900;1,53
CALM;C11 A;Norman Wells   (Thaw tube);TT;2002;64,00;65,19305556;-126,468888900;0,98
CALM;C11 A;Norman Wells   (Thaw tube);TT;2003;60,00;65,19305556;-126,468888900;1,10
CALM;C11 A;Norman Wells   (Thaw tube);TT;2004;60,00;65,19305556;-126,468888900;1,20
CALM;C11 A;Norman Wells   (Thaw tube);TT;2005;61,00;65,19305556;-126,468888900;1,47
CALM;C11 B;Norman Wells   (grid);100;1998;50,00;65,19305556;-126,468888900;1,50
CALM;C11 B;Norman Wells   (grid);100;1999;49,00;65,19305556;-126,468888900;1,30
CALM;C11 B;Norman Wells   (grid);100;2000;45,00;65,19305556;-126,468888900;1,45
CALM;C11 B;Norman Wells   (grid);100;2001;45,00;65,19305556;-126,468888900;1,53
CALM;C11 B;Norman Wells   (grid);100;2002;47,00;65,19305556;-126,468888900;0,98
CALM;C11 B;Norman Wells   (grid);100;2003;41,00;65,19305556;-126,468888900;1,10
CALM;C11 B;Norman Wells   (grid);100;2004;39,00;65,19305556;-126,468888900;1,20
CALM;C11 B;Norman Wells   (grid);100;2005;46,00;65,19305556;-126,468888900;1,47
CALM;C11 B;Norman Wells   (grid);100;2006;48,00;65,19305556;-126,468888900;1,68
CALM;C11 B;Norman Wells   (grid);100;2007;47,00;65,19305556;-126,468888900;1,58
CALM;C11 B;Norman Wells   (grid);100;2008;50,00;65,19305556;-126,468888900;1,53
CALM;C12;Great Bear River;T/P;1997;69,00;64,91666667;-125,583333300;1,17
CALM;C12;Great Bear River;T/P;1998;87,00;64,91666667;-125,583333300;1,23
CALM;C12;Great Bear River;T/P;1999;86,00;64,91666667;-125,583333300;1,13
