Source;Code;Name;Method;year;Depth;Latitude;Longitude;ALT_Permafrost_cci;;;;;;;
CALM;C10;Pump Station;T/P;1997;77;65,28333333;-126,8833333;1,38;;;;;;;
CALM;C10;Pump Station;T/P;1998;78;65,28333333;-126,8833333;1,56;;;;;;;
CALM;C10;Pump Station;T/P;1999;77;65,28333333;-126,8833333;1,28;;;;;;;
CALM;C10;Pump Station;T/P;2000;80;65,28333333;-126,8833333;1,26;;;;;;;
CALM;C11 A;Norman Wells   (Thaw tube);TT;1997;59;65,19305556;-126,4688889;1,4;;;;;;;
CALM;C11 A;Norman Wells   (Thaw tube);TT;1998;66;65,19305556;-126,4688889;1,5;;;;;;;
CALM;C11 A;Norman Wells   (Thaw tube);TT;1999;64;65,19305556;-126,4688889;1,3;;;;;;;
CALM;C11 A;Norman Wells   (Thaw tube);TT;2000;64;65,19305556;-126,4688889;1,45;;;;;;;
CALM;C11 A;Norman Wells   (Thaw tube);TT;2001;66;65,19305556;-126,4688889;1,53;;;;;;;
CALM;C11 A;Norman Wells   (Thaw tube);TT;2002;64;65,19305556;-126,4688889;0,98;;;;;;;
CALM;C11 A;Norman Wells   (Thaw tube);TT;2003;60;65,19305556;-126,4688889;1,1;;;;;;;
CALM;C11 A;Norman Wells   (Thaw tube);TT;2004;60;65,19305556;-126,4688889;1,2;;;;;;;
CALM;C11 A;Norman Wells   (Thaw tube);TT;2005;61;65,19305556;-126,4688889;1,47;;;;;;;
CALM;C11 B;Norman Wells   (grid);100;1998;50;65,19305556;-126,4688889;1,5;;;;;;;
CALM;C11 B;Norman Wells   (grid);100;1999;49;65,19305556;-126,4688889;1,3;;;;;;;
CALM;C11 B;Norman Wells   (grid);100;2000;45;65,19305556;-126,4688889;1,45;;;;;;;
CALM;C11 B;Norman Wells   (grid);100;2001;45;65,19305556;-126,4688889;1,53;;;;;;;
CALM;C11 B;Norman Wells   (grid);100;2002;47;65,19305556;-126,4688889;0,98;;;;;;;
CALM;C11 B;Norman Wells   (grid);100;2003;41;65,19305556;-126,4688889;1,1;;;;;;;
CALM;C11 B;Norman Wells   (grid);100;2004;39;65,19305556;-126,4688889;1,2;;;;;;;
CALM;C11 B;Norman Wells   (grid);100;2005;46;65,19305556;-126,4688889;1,47;;;;;;;
CALM;C11 B;Norman Wells   (grid);100;2006;48;65,19305556;-126,4688889;1,68;;;;;;;
CALM;C11 B;Norman Wells   (grid);100;2007;47;65,19305556;-126,4688889;1,58;;;;;;;
CALM;C11 B;Norman Wells   (grid);100;2008;50;65,19305556;-126,4688889;1,53;;;;;;;
CALM;C12;Great Bear River;T/P;1997;69;64,91666667;-125,5833333;1,17;;;;;;;
CALM;C12;Great Bear River;T/P;1998;87;64,91666667;-125,5833333;1,23;;;;;;;
CALM;C12;Great Bear River;T/P;1999;86;64,91666667;-125,5833333;1,13;;;;;;;
CALM;C12;Great Bear River;T/P;2000;86;64,91666667;-125,5833333;1,23;;;;;;;
CALM;C13;Ochre River;TT;1997;65;63,46638889;-123,6927778;1,47;;;;;;;
CALM;C13;Ochre River;TT;1998;66;63,46638889;-123,6927778;1,58;;;;;;;
CALM;C13;Ochre River;TT;1999;65;63,46638889;-123,6927778;1,6;;;;;;;
